0x8, size: 4, R <-  0x27ff
0x10, size: 8, R <-  0x6e6f73676e6f6f4c
0x20, size: 8, R <-  0x4c2d303030364133
0x1004, size: 4, W ->  0xffffffffffffffff
0x142c, size: 4, W ->  0xffffffffffffffff
0x1434, size: 4, W ->  0x0
0x1400, size: 1, W ->  0x11
0x1401, size: 1, W ->  0x11
0x1402, size: 1, W ->  0x11
0x1403, size: 1, W ->  0x11
0x1404, size: 1, W ->  0x11
0x1405, size: 1, W ->  0x11
0x1406, size: 1, W ->  0x11
0x1407, size: 1, W ->  0x11
0x1408, size: 1, W ->  0x11
0x1409, size: 1, W ->  0x11
0x140a, size: 1, W ->  0x11
0x140b, size: 1, W ->  0x11
0x140c, size: 1, W ->  0x11
0x140d, size: 1, W ->  0x11
0x140e, size: 1, W ->  0x11
0x140f, size: 1, W ->  0x11
0x1410, size: 1, W ->  0x11
0x1411, size: 1, W ->  0x11
0x1412, size: 1, W ->  0x11
0x1413, size: 1, W ->  0x11
0x1414, size: 1, W ->  0x11
0x1415, size: 1, W ->  0x11
0x1416, size: 1, W ->  0x11
0x1417, size: 1, W ->  0x11
0x1418, size: 1, W ->  0x11
0x1419, size: 1, W ->  0x11
0x141a, size: 1, W ->  0x11
0x141b, size: 1, W ->  0x11
0x141c, size: 1, W ->  0x11
0x141d, size: 1, W ->  0x11
0x141e, size: 1, W ->  0x11
0x141f, size: 1, W ->  0x11
0x420, size: 8, R <-  0xf200f8880300
0x420, size: 8, W ->  0x1f200f8880300
0x14a0, size: 4, W ->  0x20001
0x14a4, size: 4, W ->  0x80004
0x14a8, size: 4, W ->  0x200010
0x14ac, size: 4, W ->  0x800040
0x14b0, size: 4, W ->  0x2000100
0x14b4, size: 4, W ->  0x8000400
0x14b8, size: 4, W ->  0x20001000
0x14bc, size: 4, W ->  0xffffffff80004000
0x14c0, size: 4, W ->  0x2020202
0x14c4, size: 4, W ->  0x2020202
0x1c00, size: 4, W ->  0x1010101
0x1c04, size: 4, W ->  0x1010101
0x1c08, size: 4, W ->  0x1010101
0x1c0c, size: 4, W ->  0x1010101
0x1c10, size: 4, W ->  0x1010101
0x1c14, size: 4, W ->  0x1010101
0x1c18, size: 4, W ->  0x1010101
0x1c1c, size: 4, W ->  0x1010101
0x1c20, size: 4, W ->  0x1010101
0x1c24, size: 4, W ->  0x1010101
0x1c28, size: 4, W ->  0x1010101
0x1c2c, size: 4, W ->  0x1010101
0x1c30, size: 4, W ->  0x1010101
0x1c34, size: 4, W ->  0x1010101
0x1c38, size: 4, W ->  0x1010101
0x1c3c, size: 4, W ->  0x1010101
0x1c40, size: 4, W ->  0x1010101
0x1c44, size: 4, W ->  0x1010101
0x1c48, size: 4, W ->  0x1010101
0x1c4c, size: 4, W ->  0x1010101
0x1c50, size: 4, W ->  0x1010101
0x1c54, size: 4, W ->  0x1010101
0x1c58, size: 4, W ->  0x1010101
0x1c5c, size: 4, W ->  0x1010101
0x1c60, size: 4, W ->  0x1010101
0x1c64, size: 4, W ->  0x1010101
0x1c68, size: 4, W ->  0x1010101
0x1c6c, size: 4, W ->  0x1010101
0x1c70, size: 4, W ->  0x1010101
0x1c74, size: 4, W ->  0x1010101
0x1c78, size: 4, W ->  0x1010101
